left_knee_angle,right_knee_angle,back_angle,symmetry_score,label
160.72563281011966,160.21113361209694,175.90683235075423,0.5144991980227189,perfect_squat
157.68855718167984,170.60699277051592,169.08282006538653,12.918435588836076,perfect_squat
171.30614081881123,170.74244877012876,155.30468088794996,0.5636920486824692,perfect_squat
160.34766172972948,157.995651625503,169.17779444097684,2.35201010422648,perfect_squat
157.8293246501848,151.5774888541234,170.2411403990561,6.2518357960613855,perfect_squat
148.25776515828287,149.63959450462465,154.5720919709838,1.3818293463417888,perfect_squat
149.08691134461628,151.9606185911804,139.20467595976018,2.8737072465641234,perfect_squat
148.53124629843583,151.08466344160664,139.3116059627399,2.5534171431708046,perfect_squat
134.49186798389644,145.63028060546233,125.2132561268083,11.138412621565891,perfect_squat
135.32392811030505,143.47738479750151,125.22875784224425,8.153456687196467,perfect_squat
137.9783931378603,145.06130194954684,128.00794134234235,7.082908811686536,perfect_squat
104.80729347510723,134.66369389705966,92.74396360943473,29.85640042195243,perfect_squat
118.22604467215423,129.24548251828668,102.12026095211614,11.019437846132448,perfect_squat
100.94291198052416,124.88185259377632,88.4204280966993,23.938940613252157,perfect_squat
98.34280090163334,124.98320067238829,87.47909424266423,26.640399770754954,perfect_squat
99.14212605366706,127.00132697559815,86.21365592681586,27.85920092193109,perfect_squat
113.64983414828204,120.04156355539618,97.10522123530137,6.391729407114141,perfect_squat
125.73282843098288,113.00938143609484,110.43225636189312,12.723446994888036,perfect_squat
122.57254628471173,116.44510805971973,117.66857835844573,6.127438224992005,perfect_squat
107.57688283274531,85.29644837896298,102.80678969154103,22.280434453782334,perfect_squat
88.71584678297232,83.4851670602394,84.28105548445116,5.230679722732916,perfect_squat
146.94023197056356,158.7496468615821,65.38739771194855,11.809414891018548,perfect_squat
146.19063156722646,162.22041087182143,71.08564394340112,16.029779304594967,perfect_squat
144.64420697019582,156.15022595443745,73.27829231909789,11.50601898424162,perfect_squat
132.90549375961666,140.29030465402613,74.5617260055711,7.384810894409469,perfect_squat
130.23459599852796,131.0714853499357,79.06646857517823,0.8368893514077342,perfect_squat
140.83997418582257,162.3232738284622,76.57283539662805,21.483299642639622,perfect_squat
151.96038410633628,168.80244766135453,79.59421252041962,16.842063555018257,perfect_squat
153.97567656390552,170.48490201706343,89.41190306078568,16.50922545315791,perfect_squat
164.19074148445026,175.47775359488975,100.7327630573174,11.287012110439491,perfect_squat
158.30040239634224,163.99464353592182,90.3128654414602,5.694241139579589,perfect_squat
155.62136055433527,156.61494225355267,91.3053009720592,0.9935816992174011,perfect_squat
155.54643036492405,156.75732546399425,87.6702413214401,1.2108950990701999,perfect_squat
155.9608881743741,160.19619196294136,86.25503508078413,4.235303788567251,perfect_squat
146.62571763700075,149.6795489647861,100.85877782304381,3.0538313277853604,perfect_squat
155.9937568083651,165.81549725269954,95.09511716175976,9.821740444334438,perfect_squat
168.5628151877548,174.93724266610903,90.6739253318731,6.374427478354221,perfect_squat
161.31811942401575,172.97945800591447,79.04632058579622,11.661338581898718,perfect_squat
160.9897695114575,169.21131449209904,80.46287162857413,8.22154498064154,perfect_squat
159.37248733635957,177.33812312650198,91.10209868305122,17.965635790142414,perfect_squat
157.54887138682938,162.53783470441286,162.41532124679242,4.988963317583483,perfect_squat
159.5773930874413,162.41355761197863,161.52629348563613,2.836164524537338,perfect_squat
160.28236955723972,162.12715923193298,160.9208710362631,1.84478967469326,perfect_squat
160.6894363145446,162.04691094012486,160.50482679599844,1.3574746255802665,perfect_squat
161.77869950615388,162.77926142113873,160.19774141993622,1.0005619149848428,perfect_squat
161.51547218458828,162.1317560656313,160.2802063152383,0.6162838810430173,perfect_squat
163.04120193431558,163.80794116517626,159.6403519249198,0.7667392308606793,perfect_squat
162.74849038469424,163.5719849419468,159.70120785801086,0.8234945572525589,perfect_squat
